,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,Max Temperature,Avg Temperature,Min Temperature,Dew Point,Precipitation,Snowdepth,Wind,Gust Wind,Sea Level Pressure,elevation
13,Grand Fire,2013-05-15 12:50:00,CAL FIRE / USFS Los Padres National Forest,"Kern, Ventura","South of Frazier Mountain Park Rd, South of Frazier Park",4346,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,2013-05-21 19:45:00,2013-05-21,2013-05-15,88.0,76.25,64.57,42.82,0.0,0.0,6.93,1.91,29.43,2229.86572265625
14,54 Fire,2013-05-16 13:48:00,CAL FIRE Riverside Unit,Riverside,"Avenue 54 and Tyler Street, near the community of Coachella",40,CAL FIRE Riverside Unit,-116.161201,33.655638,2013-05-17 08:30:00,2013-05-17,2013-05-16,98.71,85.4,71.43,38.84,0.0,0.0,7.68,6.77,29.32,-32.23991394042969
15,Lake Fire,2013-05-17 13:23:00,CAL FIRE/Los Angeles County ,Los Angeles,I-5 Southbound at Lake Hughes Road,712,CAL FIRE/Los Angeles County ,-118.610044,34.49149,2013-05-18 19:00:00,2013-05-18,2013-05-17,84.0,73.16,64.14,51.15,0.0,0.0,5.85,0.87,29.1,392.3241577148438
16,Lilly 2 Fire,2013-05-19 15:07:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,91,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,2013-05-20 19:10:00,2013-05-20,2013-05-19,81.14,70.19,58.29,34.84,0.0,0.0,8.88,2.18,29.56,480.7680969238281
17,Cottontail Fire,2013-05-20 15:45:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,2013-05-20 19:10:00,2013-05-20,2013-05-20,73.29,57.91,45.71,44.86,0.0,0.0,10.1,7.25,29.74,167.8908233642578
18,Cherry Fire,2013-05-20 13:47:00,CAL FIRE Riverside Unit,Riverside,Off Sunset Ave & Mesa St in Banning,25,CAL FIRE Riverside Unit,-116.90721299999998,33.96201,2013-05-20 18:50:00,2013-05-20,2013-05-20,95.43,82.52,68.86,37.39,0.0,0.0,8.53,7.17,29.26,997.0892944335938
19,Water Fire,2013-05-21 14:16:00,CAL FIRE/Riverside County Fire ,Riverside,Off Whitewater Canyon Road in Whitewater,90,CAL FIRE/Riverside County Fire ,-116.6534,33.9582,2013-05-21 19:30:00,2013-05-21,2013-05-21,95.43,82.52,68.86,37.39,0.0,0.0,8.53,7.17,29.26,692.1546020507812
20,Shelton Fire,2013-05-30 11:20:00,CAL FIRE Tuolumne-Calaveras Unit ,San Joaquin,off North Shelton Rd in the Linden Peters area,303,CAL FIRE Tuolumne-Calaveras Unit ,-120.90325,38.04993,2013-05-30 13:25:00,2013-05-30,2013-05-30,83.29,68.7,54.86,48.35,0.0,0.0,10.4,5.48,29.91,83.42656707763672
22,San Felipe Fire,2013-05-23 12:20:00,CAL FIRE San Diego Unit,San Diego,"San Felipe Road, north of Highway 78, East of Julian",2781,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",-116.52579,33.121109999999994,2013-05-26 17:45:00,2013-05-26,2013-05-23,68.71,64.76,61.14,53.28,0.0,0.0,5.84,1.42,29.57,748.9256591796875
23,Homestead Fire,2013-05-25 17:35:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Homestead Rd & Hwy 41, northeast of Atascadero ",50,CAL FIRE San Luis Obispo Unit,-120.6368,35.5123,2013-05-25 18:45:00,2013-05-25,2013-05-25,73.29,57.91,45.71,44.86,0.0,0.0,10.1,7.25,29.74,317.2881774902344
24,Smiley Fire,2013-05-25 14:59:00,CAL FIRE/Riverside County Fire,Riverside,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",124,CAL FIRE/Riverside County Fire,-117.187934,33.963591,2013-05-25 23:00:00,2013-05-25,2013-05-25,83.0,72.25,57.57,45.99,0.0,0.0,6.65,1.33,28.67,623.2278442382812
25,General Fire,2013-05-26 12:04:00,CAL FIRE San Diego Unit,San Diego,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",1271,CAL FIRE San Diego Unit,-116.5209,33.04458,2013-05-31 06:15:00,2013-05-31,2013-05-26,70.29,65.33,61.57,55.2,0.0,0.0,5.47,0.36,29.51,1117.3662109375
27,Magic Fire,2013-05-28 11:30:00,Los Angeles County Fire Department,Los Angeles,off Magic Mtn Parkway in Valencia,149,Los Angeles County Fire Department,-118.58688,34.419284000000005,2013-05-29 15:30:00,2013-05-29,2013-05-28,83.43,71.06,62.29,55.39,0.0,0.0,7.01,1.72,29.0,374.3245544433594
28,Olive Fire,2013-05-28 15:24:00,Santa Barbara County Fire,Santa Barbara,"Hwy 246 and Meadowvale, East of Solvang ",170,Santa Barbara County Fire,-120.074655,34.611824,2013-05-29 10:30:00,2013-05-29,2013-05-28,75.43,66.46,57.43,52.24,0.0,0.0,8.82,5.56,29.82,186.6914367675781
30,Murphy Fire,2013-06-02 13:30:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,off Lime Kiln Rd,100,CAL FIRE Tuolumne-Calaveras Unit,-120.33313,37.91529,2013-06-02 16:55:00,2013-06-02,2013-06-02,92.86,73.2,50.0,53.14,0.0,0.0,7.89,0.99,29.74,551.8480224609375
31,Lone Fire,2013-06-03 13:49:00,CAL FIRE Butte Unit,Butte,Palermo Road and Lone Tree Road near Palermo,298,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.576804,39.434183,2013-06-03 20:00:00,2013-06-03,2013-06-03,94.71,75.11,58.57,55.74,0.0,0.0,7.81,0.58,29.72,45.70810317993164
32,Hathaway Fire,2013-06-09 12:30:00,USFS San Bernardino National Forest,Riverside,"Hathaway Canyon area, northeast of Banning",0,USFS San Bernardino National Forest,-116.84137,33.99647,2013-06-09 16:45:00,2013-06-09,2013-06-09,103.71,89.68,73.43,39.72,0.0,0.0,6.8,5.05,28.99,1139.232299804688
33,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10 00:46:00,CAL FIRE Sonoma-Lake-Napa Unit,"Sonoma, Solano, Lake, Colusa","throughout Sonoma, Solano, Lake & Colusa Counties",28,CAL FIRE Sonoma-Lake-Napa Unit,-122.0437,38.4229,2013-06-14 15:45:00,2013-06-14,2013-06-10,84.14,70.72,58.0,49.96,0.0,0.0,9.28,2.92,29.83,126.9128723144531
34,152 Fire,2013-06-04 15:42:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,Hwy 152 in San Luis Creek Reservoir,124,CAL FIRE Madera-Mariposa-Merced Unit,-121.006939,37.03776,2013-06-05 08:30:00,2013-06-05,2013-06-04,77.29,64.95,55.29,52.58,0.0,0.0,7.06,0.53,29.78,121.5907363891602
35,Lake Fire,2013-06-05 16:05:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,Lakeshore Drive and Patterson Drive in Clearlake Oaks,30,CAL FIRE Sonoma-Lake-Napa Unit,-122.703193,38.99233,2013-06-06 07:00:00,2013-06-06,2013-06-05,77.57,60.89,51.71,50.56,0.0,0.0,5.45,0.83,29.67,407.3194885253906
36,Powerhouse Fire,2013-05-30 15:28:00,USFS Angeles National Forest/Los Angeles County/CAL FIRE,Los Angeles,Angeles National Forest,30274,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,2013-06-08 18:30:00,2013-06-08,2013-05-30,83.43,71.06,62.29,55.39,0.0,0.0,7.01,1.72,29.0,811.7650146484375
37,Vasco Fire,2013-06-08 10:16:00,CAL FIRE Santa Clara Unit,Alameda,"off Vasco Road & North Vasco Road, north of Livermore",240,CAL FIRE Santa Clara Unit,-121.73721299999998,37.775057,2013-06-08 13:25:00,2013-06-08,2013-06-08,69.71,60.7,54.71,55.97,0.0,0.0,9.78,0.92,29.86,237.3551177978516
38,Viper Fire,2013-06-08 15:37:00,CAL FIRE/Riverside County Fire,Riverside,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",42,CAL FIRE/Riverside County Fire,-117.1265,33.969359999999995,2013-06-08 19:00:00,2013-06-08,2013-06-08,86.0,74.87,59.57,52.22,0.0,0.0,6.5,0.15,28.64,665.7333374023438
40,Roadrunner Fire,2013-06-12 16:43:00,CAL FIRE Amador-El Dorado Unit,Amador,"Roadrunner Drive, south of Ione",96,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,2013-06-13 09:45:00,2013-06-13,2013-06-12,84.71,70.06,56.57,48.13,0.0,0.0,8.74,3.34,29.85,92.60325622558594
41,Revis Fire,2013-06-12 16:40:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,75,CAL FIRE Madera-Mariposa-Merced Unit,-119.75636000000002,37.169379,2013-06-14 16:30:00,2013-06-14,2013-06-12,92.86,78.68,63.86,46.83,0.0,0.0,8.62,1.36,29.5,393.5140991210938
42,Clinton Fire,2013-06-13 11:54:00,CAL FIRE/Fresno County Fire,Fresno,"Clinton and Highland, East of Fresno",108,CAL FIRE/Fresno County Fire,-119.62838899999998,36.772425,2013-06-13 21:30:00,2013-06-13,2013-06-13,92.86,78.68,63.86,46.83,0.0,0.0,8.62,1.36,29.5,111.6617813110352
43,Carstens Fire,2013-06-16 14:12:00,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Mariposa,"Off Carstens Road, east of 140 in the Midpines area.",1708,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",-119.91071,37.58202,2013-06-26 11:15:00,2013-06-26,2013-06-16,90.14,75.82,61.0,43.57,0.0,0.0,11.08,4.43,29.56,1049.0830078125
44,PFE Fire,2013-06-13 11:28:00,CAL FIRE/Placer County Fire,Placer,"PFE Road and Watt Avenue, West Roseville",237,CAL FIRE/Placer County Fire,-121.380862,38.729297,2013-06-13 14:15:00,2013-06-13,2013-06-13,84.14,70.72,58.0,49.96,0.0,0.0,9.28,2.92,29.83,29.10553741455078
45,Michelle Fire,2013-06-13 15:54:00,CAL FIRE/Fresno County Fire,Fresno,"off McKinley Ave & Academy Ave, north of Sanger ",35,CAL FIRE/Fresno County Fire,-119.558244,36.763367,2013-06-13 21:30:00,2013-06-13,2013-06-13,92.86,78.68,63.86,46.83,0.0,0.0,8.62,1.36,29.5,118.7007446289062
46,Palmyrita Fire,2013-06-14 13:47:00,CAL FIRE/Riverside County Fire,Riverside,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",40,CAL FIRE/Riverside County Fire,-117.302057,34.001745,2013-06-15 08:00:00,2013-06-15,2013-06-14,87.29,76.24,59.29,50.32,0.0,0.0,7.05,0.66,28.69,419.1758117675781
47,Rolling Fire,2013-06-16 18:17:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,"off Hwy 41 & Road 145, northwest of Friant ",482,CAL FIRE Madera-Mariposa-Merced Unit,-119.78106,37.015575,2013-06-18 19:30:00,2013-06-18,2013-06-16,90.14,75.82,61.0,43.57,0.0,0.0,11.08,4.43,29.56,150.6725616455078
48,California Fire,2013-06-18 15:18:00,CAL FIRE Sanoma-Lake-Napa Unit,Solano,"Off Lake Herman Rd, west of Hwy 680 in Benicia",124,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,2013-06-18 22:30:00,2013-06-18,2013-06-18,70.14,61.3,53.43,54.15,0.0,0.0,11.12,1.21,30.01,25.50976753234863
49,Sierra Fire,2013-06-17 14:41:00,CAL FIRE/Fresno County Fire,Fresno,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",46,CAL FIRE/Fresno County Fire,-119.463757,37.03087,2013-06-19 08:45:00,2013-06-19,2013-06-17,90.14,75.82,61.0,43.57,0.0,0.0,11.08,4.43,29.56,578.2921142578125
50,George Fire,2013-06-25 13:36:00,CAL FIRE/Fresno County Fire,Fresno,off Bronco Lane in Squaw Valley,150,CAL FIRE/Fresno County Fire,-119.2248,36.7218,2013-06-25 17:15:00,2013-06-25,2013-06-25,95.71,83.5,70.29,57.52,0.0,0.0,8.88,1.12,29.53,508.3612976074219
51,Mount Fire,2013-06-20 14:29:00,CAL FIRE Sanoma-Lake-Napa Unit,Lake,"Off Konocti Rd & Oak Hills Ln, east of Kelseyville",25,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796,38.98058,2013-06-20 13:15:00,2013-06-20,2013-06-20,84.14,66.86,48.43,45.31,0.0,0.0,6.41,4.32,29.79,443.7279968261719
52,Mills Fire,2013-06-28 14:30:00,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,San Bernardino,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",534,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,2013-07-01 06:00:00,2013-07-01,2013-06-28,92.57,82.81,65.86,52.11,0.0,0.0,6.25,0.16,28.69,865.9059448242188
53,Concord Fire,2013-07-01 15:41:00,CAL FIRE Santa Clara Unit,Contra Costa,off Concord Ave & Vineyard Parkway in Brentwood,274,CAL FIRE Santa Clara Unit,-121.74367,39.90465,2013-07-01 18:30:00,2013-07-01,2013-07-01,107.0,91.31,75.86,53.47,0.0,0.0,5.81,1.68,29.19,661.0026245117188
54,Freeman Fire,2013-06-29 14:09:00,CAL FIRE San Benito-Monterey Unit ,Monterey,"off Hwy 198, 10 miles east of King City",105,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,2013-06-29 18:30:00,2013-06-29,2013-06-29,74.29,63.22,49.57,56.15,0.0,0.0,3.98,0.29,29.75,386.0295104980469
55,Kirker Fire,2013-07-01 13:19:00,CAL FIRE Santa Clara Unit,Contra Costa,Kirker Pass Road south of Pittsburg,492,CAL FIRE Santa Clara Unit,-121.91453,37.96866,2013-07-01 18:40:00,2013-07-01,2013-07-01,76.86,67.12,60.57,59.79,0.0,0.0,9.71,1.52,29.81,298.6345825195312
57,Fox Fire (formally 3-7 Fire),2013-07-03 22:56:00,CAL FIRE Lassen-Modoc Unit,Modoc,5 miles northwest of Aiden,502,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,2013-07-05 18:30:00,2013-07-05,2013-07-03,107.0,91.31,75.86,53.47,0.0,0.0,5.81,1.68,29.19,1414.102416992188
58,Vina Fire,2013-07-04 07:30:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Tehama-Vina Rd and Sherman Rd, Los Molinos",200,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,2013-07-04 10:30:00,2013-07-04,2013-07-04,107.0,91.31,75.86,53.47,0.0,0.0,5.81,1.68,29.19,66.17802429199219
59,Grant Fire,2013-07-04 10:00:00,CAL FIRE Santa Clara Unit,Alameda,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",50,CAL FIRE Santa Clara Unit,-121.5869,37.7393,2013-07-04 11:30:00,2013-07-04,2013-07-04,100.0,83.7,68.71,55.59,0.0,0.0,8.55,1.57,29.71,99.67169952392578
60,Fallon Fire,2013-07-06 13:09:00,CAL FIRE Santa Clara Unit / Alameda County Fire,Alameda,off Fallon Rd & Camino Tassajara near Dublin ,38,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,2013-07-06 14:30:00,2013-07-06,2013-07-06,76.86,67.12,60.57,59.79,0.0,0.0,9.71,1.52,29.81,193.8841552734375
61,Chariot Fire,2013-07-06 12:55:00,CAL FIRE San Diego Unit / Cleveland National Forest,San Diego,"off Sunrise Hwy, 9 miles southeast of Julian",7055,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381,32.95435,2013-07-15 06:15:00,2013-07-15,2013-07-06,74.86,70.2,67.14,62.26,0.0,0.0,3.65,0.12,29.48,938.4535522460938
62,Adelaida Fire,2013-07-07 13:16:00,CAL FIRE San Luis Obispo,San Luis Obispo,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",85,CAL FIRE San Luis Obispo,-120.83417,35.62743,2013-07-07 22:00:00,2013-07-07,2013-07-07,79.0,62.29,54.86,54.16,0.0,0.0,6.3,1.35,29.72,454.1457214355469
63,McGanney Fire,2013-07-08 09:59:00,CAL FIRE Nevada-Placer-Yuba Unit,Yuba,"off Highway 20 and McGanney Lane, west of Smartsville",73,CAL FIRE Nevada-Placer-Yuba Unit,-121.31634,39.206,2013-07-08 17:30:00,2013-07-08,2013-07-08,94.0,74.44,57.71,51.32,0.0,0.0,8.37,0.74,29.81,220.1736907958984
64,Fiddler Fire,2013-07-09 11:59:00,CAL FIRE Shasta-Trinity Unit,Shasta,off Fiddler,43,CAL FIRE Shasta-Trinity Unit,-122.7338,40.373000000000005,2013-07-09 15:00:00,2013-07-09,2013-07-09,97.43,82.4,64.71,42.25,0.0,0.0,4.95,1.29,29.3,410.3847961425781
65,Kyburz Fire,2013-07-08 12:45:00,Eldorado National Forest,El Dorado,"Off Hwy 50 at 30 Mile Tract, Kyburz",572,Eldorado National Forest,-120.298,38.774,2013-07-11 18:30:00,2013-07-11,2013-07-08,93.0,78.44,61.57,29.82,0.0,0.0,7.3,6.95,25.42,1230.3076171875
66,Uvas Fire,2013-07-12 13:09:00,CAL FIRE Santa Clara Unit,Santa Clara,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",50,CAL FIRE Santa Clara Unit,-121.7804,37.1438,2013-07-12 17:45:00,2013-07-12,2013-07-12,79.0,65.42,55.57,53.71,0.0,0.0,6.77,0.0,29.86,221.3523406982422
67,Diablo Fire,2013-07-12 15:35:00,CAL FIRE Santa Clara Unit,Stanislaus,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",150,CAL FIRE Santa Clara Unit,-121.1955,37.436,2013-07-13 21:45:00,2013-07-13,2013-07-12,94.14,76.15,58.86,49.66,0.0,0.0,7.09,0.1,29.83,288.9714965820312
68,Mountain Fire,2013-07-15 13:43:00,CAL FIRE Riverside Unit / San Bernardino National Forest,Riverside,Hwy 243 & Hwy 74 near Mountain Center,27531,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,2013-07-30 18:00:00,2013-07-30,2013-07-15,104.57,93.6,81.43,47.73,0.0,0.0,5.85,2.96,29.26,1368.823852539062
69,Orleans Complex,2013-08-03 08:00:00,Six Rivers National Forest,Humboldt,"10 miles east of Somes Bar, California",0,Six Rivers National Forest,-123.376,41.333,2013-08-03 15:00:00,2013-08-03,2013-08-03,59.14,54.71,51.71,52.08,0.0,0.0,5.14,1.52,29.99,377.26123046875
70,Silverwood Fire,2013-07-25 15:09:00,San Bernardino County Fire,San Bernardino, Hwy 138 west of Hwy 173,75,San Bernardino County Fire,-117.352,34.316,2013-07-26 18:15:00,2013-07-26,2013-07-25,89.43,80.0,56.57,56.42,0.0,0.0,6.13,0.42,28.73,1000.692016601562
72,Aspen Fire,2013-07-22 22:15:00,Sierra National Forest,Fresno,Seven miles north of Big Creek,22992,Sierra National Forest,-119.318,37.279,2013-09-24 20:15:00,2013-09-24,2013-07-22,85.0,67.91,52.57,43.92,0.0,0.0,6.57,4.39,23.27,1141.90576171875
73,Salmon River Complex,2013-07-31 22:00:00,Klamath National Forest,Siskiyou,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",14754,Klamath National Forest,-123.176,41.32,2013-08-31 06:45:00,2013-08-31,2013-07-31,59.71,54.22,51.29,51.26,0.0,0.0,4.62,0.15,29.83,601.7352294921875
74,Branch Fire,2013-08-01 16:01:00,CAL FIRE Butte Unit,Butte,Near Rocky Peak - North Fork Lake Oroville near Cherokee,92,CAL FIRE Butte Unit,-121.50354,39.6612,2013-08-04 14:45:00,2013-08-04,2013-08-01,88.29,70.28,56.43,53.2,0.0,0.0,9.64,1.79,29.86,352.6511535644531
75,Redlands Fire,2013-07-16 17:48:00,CAL FIRE / Riverside County Fire,Riverside,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",150,CAL FIRE / Riverside County Fire,-117.164997,33.990128000000006,2013-07-17 07:45:00,2013-07-17,2013-07-16,93.57,83.21,65.29,46.61,0.0,0.0,6.53,1.28,28.67,560.31103515625
76,Relay Fire,2013-08-04 16:29:00,CAL FIRE/Riverside County  Fire,Riverside,"near Mt. David, south of Beaumont",60,CAL FIRE/Riverside County  Fire,-116.99895,33.910270000000004,2013-08-04 18:00:00,2013-08-04,2013-08-04,89.86,78.37,58.71,44.6,0.0,0.0,6.37,0.33,28.74,802.0449829101562
77,Water Fire,2013-07-23 09:15:00,Kern County Fire,Kern,West side of Interstate 5 at Tejon Ranch,612,Kern County Fire,-118.93388,34.90327,2013-07-25 18:30:00,2013-07-25,2013-07-23,100.0,88.69,77.57,51.76,0.0,0.0,6.56,0.42,29.33,1219.19677734375
78,Pratt Fire,2013-07-23 13:29:00,CAL FIRE Mendocino Unit,Mendocino,"Hwy 175 & Pratt Ranch Road, East of Hopland ",45,CAL FIRE Mendocino Unit,-123.067671,38.980846,2013-07-23 16:00:00,2013-07-23,2013-07-23,79.14,61.71,53.14,52.84,0.0,0.0,5.55,0.09,29.77,226.1733703613281
79,Rancho Fire,2013-07-19 12:00:00,CAL FIRE / Kern County Fire / State Parks / US Forest Service,Kern,West side of Interstate 5 in Lebec (Kern County),712,"CAL FIRE / Kern County Fire / State Parks / US Forest Service, Cal Fire, United States Forest Service, Ventura County Fire, Kern County Sheriff Department, Calif State Parks, Calif Highway Patrol",-118.9194,34.882,2013-07-22 18:45:00,2013-07-22,2013-07-19,98.14,84.99,71.57,41.05,0.0,0.0,5.58,0.35,28.97,1228.511962890625
80,Paskenta Fire,2013-07-19 13:32:00,CAL FIRE Tehama-Glenn Unit,Tehama,West of Corning,195,CAL FIRE Tehama-Glenn Unit,-122.330879,39.961309,2013-07-19 15:00:00,2013-07-19,2013-07-19,100.43,82.81,62.86,43.88,0.0,0.0,4.68,0.73,29.3,131.7948913574219
81,Lakeville Fire,2013-07-26 13:45:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"Off Lakeville Hwy, 6 miles SE of Petaluma",158,CAL FIRE Sonoma-Lake-Napa Unit,-122.51253,38.17693,2013-07-26 17:45:00,2013-07-26,2013-07-26,79.14,61.71,53.14,52.84,0.0,0.0,5.55,0.09,29.77,44.11743927001953
82,50 Fire,2013-07-19 14:12:00,CAL FIRE / Sacramento Metropolitan Fire,"El Dorado, Sacramento",South of Hwy 50 at the El Dorado and Sacramento County line,163,CAL FIRE / Sacramento Metropolitan Fire,-121.08438,38.63987,2013-07-19 17:15:00,2013-07-19,2013-07-19,91.57,72.84,56.71,53.55,0.0,0.0,8.41,0.66,29.82,223.0869293212891
